0.15 4.47 0.17 Dv_rd
0.38 10.23 0.17 DM_rd
0.51 13.36 0.21 DM_rd
0.70 17.86 0.33 DM_rd
0.85 18.33 0.60 Dv_rd
1.48 30.69 0.80 DM_rd
2.33 37.6 1.9 DM_rd
2.33 37.3 1.7 DM_rd
0.38 25.0 0.76 DH_rd
0.51 22.33 0.58 DH_rd
0.70 19.33 0.53 DH_rd
1.48 13.26 0.50 DH_rd
2.33 8.93 0.28 DH_rd
2.33 9.08 0.34 DH_rd
