Multipole 	EE	Plus Error	Minus Error
2	0.0544554455445544	0.035643564356435696	0.0346534653465346
3	0.05	0.02623762376237619	0.024257425742574303
4	0.0207920792079207	0.023267326732673302	0.0202970297029703
5	0.0415841584158415	0.016831683168316895	0.013861386138613804
6	0.0178217821782178	0.0108910891089109	0.009405940594059399
7	0.0084158415841584	0.009900990099009898	0.0089108910891088
8	0.0049504950495049	0.0074257425742574	0.0074257425742573005
9	0.0009900990099009	0.007920792079208	0.0074257425742573
10	0.0	0.0079207920792079	0.0069306930693069
11	-0.0074257425742574	0.0089108910891088	0.008910891089108898
12	-0.011056110646465	0.007425742574257401	0.008910891089108898
13	0.0107260675713567	0.0094059405940594	0.0084158415841584
14	-0.0095709621316135	0.0084158415841584	0.0094059405940594
15	-0.0036303680722076	0.0099009900990099	0.0079207920792079
16	-0.0016501700524056	0.0099009900990098	0.0099009900990099
17	0.0127062655911587	0.0113861386138614	0.0094059405940594
18	-0.0016501700524056	0.0118811881188118	0.0094059405940594
19	0.0156765626208617	0.0108910891089108	0.0113861386138614
20	-0.0125412591613165	0.0128712871287128	0.012871287128712801
21	0.0188118811881188	0.0128712871287128	0.0143564356435644
22	0.0094059405940594	0.0143564356435643	0.0138613861386138
23	0.0287128712871287	0.015346534653465301	0.0148514851485149
24	0.0272277227722772	0.0168316831683168	0.0153465346534654
25	0.0396039603960396	0.018316831683168305	0.0168316831683169
26	0.0247524752475247	0.0193069306930693	0.0188118811881188
27	0.0311881188118811	0.020297029702970298	0.018316831683168302
28	0.0331683168316831	0.0198019801980198	0.0217821782178218
