# total lensed [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 6000, i.e. number of multipoles equal to 5999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
    2       1.015494233127e+03       3.132583792230e-02       1.846428489953e-06       2.618910604387e+00       4.898899531912e-08       2.982487498491e-03      -1.231508704215e-05 
    3       9.612426087788e+02       4.127360123559e-02       3.693738830468e-06       2.969577993698e+00       6.048310888235e-08       3.000081816452e-03      -1.341689659381e-05 
    4       9.095161069791e+02       3.679653173617e-02       6.158166073740e-06       2.802793709348e+00       7.028956909979e-08       2.935534906376e-03      -1.160402891430e-05 
    5       8.705884269913e+02       2.534051600981e-02       9.240817439558e-06       2.408564757475e+00       7.881404677134e-08       2.840220243610e-03      -8.198437610987e-06 
    6       8.436989486085e+02       1.454177155681e-02       1.294302014957e-05       1.956079867990e+00       8.627783631695e-08       2.734894043366e-03      -4.323231623515e-06 
    7       8.265344637736e+02       7.872984868534e-03       1.726628681914e-05       1.545462511743e+00       9.285762885776e-08       2.629012696756e-03      -8.816005489920e-07 
    8       8.162125974789e+02       4.946677855381e-03       2.221227701200e-05       1.222632252874e+00       9.866918223840e-08       2.525781964275e-03       1.546004937780e-06 
    9       8.112534407071e+02       3.923588076585e-03       2.778275642462e-05       1.000210212593e+00       1.038318526207e-07       2.426326079378e-03       2.732226000986e-06 
   10       8.103023189027e+02       3.391246312375e-03       3.397955524533e-05       8.711686086076e-01       1.084728515893e-07       2.333062126594e-03       2.769460464955e-06 
   11       8.122776547590e+02       2.882412322504e-03       4.080452724738e-05       8.180842338420e-01       1.093152379226e-07       2.255093292860e-03       1.986681810792e-06 
   12       8.169408262793e+02       2.484890479949e-03       4.825951112527e-05       8.192181855342e-01       1.129038524180e-07       2.173322444225e-03       8.015639663849e-07 
   13       8.232593834750e+02       2.330223403286e-03       5.634629547155e-05       8.540386911338e-01       1.161214396645e-07       2.096119702305e-03      -3.743897427871e-07 
   14       8.307322436335e+02       2.394300169353e-03       6.506658862223e-05       9.069271487463e-01       1.190069124451e-07       2.018094980676e-03      -1.243049327794e-06 
   15       8.395760543153e+02       2.576505263348e-03       7.442199437931e-05       9.672213411666e-01       1.215964613564e-07       1.947041729043e-03      -1.648931558209e-06 
   16       8.497054930775e+02       2.825840147404e-03       8.441399435818e-05       1.028764149381e+00       1.239215627103e-07       1.882584408855e-03      -1.602559338562e-06 
   17       8.603064410720e+02       3.168627272113e-03       9.504393741759e-05       1.089812198619e+00       1.260069884369e-07       1.821370140349e-03      -1.235605757724e-06 
   18       8.716873802831e+02       3.658410722197e-03       1.063130328846e-04       1.150891786157e+00       1.278257387173e-07       1.759695821362e-03      -7.474568764888e-07 
   19       8.839429429471e+02       4.311083366496e-03       1.182223714636e-04       1.213674133234e+00       1.295466451880e-07       1.700220621084e-03      -2.927301253801e-07 
   20       8.965741539590e+02       5.122411020353e-03       1.307728980165e-04       1.280003359506e+00       1.310308665178e-07       1.644352985520e-03      -2.712324408487e-08 
   21       9.096722490634e+02       6.082277889085e-03       1.439654780104e-04       1.350227062180e+00       1.323648661264e-07       1.593618335766e-03       4.980181491175e-09 
   22       9.232773018678e+02       7.176560924378e-03       1.578008656439e-04       1.423674080695e+00       1.335242414438e-07       1.546900931847e-03      -1.687584222514e-07 
   23       9.373219668252e+02       8.408527292326e-03       1.722797830967e-04       1.498345542146e+00       1.345783618883e-07       1.503225952504e-03      -4.758256675946e-07 
   24       9.515678488622e+02       9.784766934795e-03       1.874028883688e-04       1.571382385733e+00       1.354791542188e-07       1.459985966465e-03      -8.017450536380e-07 
   25       9.660893718843e+02       1.130304759030e-02       2.031708671367e-04       1.640253070511e+00       1.362806817822e-07       1.417403575221e-03      -1.064515212183e-06 
   26       9.809469981465e+02       1.295966529276e-02       2.195843947339e-04       1.702488625830e+00       1.369618232176e-07       1.375889740778e-03      -1.193315168118e-06 
   27       9.961567681472e+02       1.476599888097e-02       2.366442150475e-04       1.756916620301e+00       1.375493064717e-07       1.336697935485e-03      -1.179475483816e-06 
   28       1.011648384483e+03       1.673855938960e-02       2.543511140225e-04       1.802952463748e+00       1.380072183321e-07       1.300597626147e-03      -1.049511307179e-06 
   29       1.027451346453e+03       1.888986814273e-02       2.727060072300e-04       1.840813493315e+00       1.384078992254e-07       1.267577522819e-03      -8.501168907115e-07 
   30       1.043531062701e+03       2.123186597876e-02       2.917098843115e-04       1.871214391039e+00       1.387714500379e-07       1.236164793861e-03      -6.555895023867e-07 
   31       1.059776297907e+03       2.377607261968e-02       3.113638024783e-04       1.894986761784e+00       1.390184724511e-07       1.204005334955e-03      -5.506750341584e-07 
   32       1.076213605385e+03       2.652911047716e-02       3.316689360067e-04       1.912152252153e+00       1.391932857580e-07       1.171721142427e-03      -5.467073060322e-07 
   33       1.092854010204e+03       2.949539034780e-02       3.526265606487e-04       1.922512033404e+00       1.393240463141e-07       1.140767144604e-03      -6.221413504845e-07 
   34       1.109660568290e+03       3.267892673583e-02       3.742380308532e-04       1.925752603921e+00       1.393748950525e-07       1.112244526141e-03      -7.437926175967e-07 
   35       1.126662333744e+03       3.608596744345e-02       3.965047122805e-04       1.920984301633e+00       1.393773458302e-07       1.086178079921e-03      -8.805965864076e-07 
   36       1.143867927547e+03       3.972321482243e-02       4.194280389641e-04       1.907023592003e+00       1.393380620264e-07       1.061694464742e-03      -9.934152703056e-07 
   37       1.161253205208e+03       4.359707594771e-02       4.430094691496e-04       1.882707532606e+00       1.392182980005e-07       1.037532809505e-03      -1.041629211109e-06 
   38       1.178843910243e+03       4.771354015085e-02       4.672502477017e-04       1.847602926770e+00       1.390559832043e-07       1.013799773940e-03      -1.025494163522e-06 
   39       1.196651767302e+03       5.207822107787e-02       4.921515710360e-04       1.801527701456e+00       1.388864425545e-07       9.908802000908e-04      -9.632428028712e-07 
   40       1.214646817830e+03       5.669635806215e-02       5.177146525122e-04       1.744366007122e+00       1.386965315094e-07       9.689435784877e-04      -8.820247600473e-07 
   41       1.232780320081e+03       6.157281375749e-02       5.439406187938e-04       1.676083034670e+00       1.384397352638e-07       9.479771489187e-04      -8.123144891122e-07 
   42       1.251072820515e+03       6.671212534726e-02       5.708301551305e-04       1.596765876012e+00       1.381383585900e-07       9.280327788564e-04      -7.646124769377e-07 
   43       1.269547466898e+03       7.211842852973e-02       5.983837468590e-04       1.506602540531e+00       1.378175158205e-07       9.090136007244e-04      -7.436380076766e-07 
   44       1.288202842237e+03       7.779541399264e-02       6.266017686474e-04       1.405876764764e+00       1.374699603293e-07       8.905598528928e-04      -7.541982062477e-07 
   45       1.307024652343e+03       8.374649395285e-02       6.554844078983e-04       1.294815609250e+00       1.370682077408e-07       8.722058827927e-04      -7.992778865350e-07 
   46       1.326030751775e+03       8.997541568427e-02       6.850314216652e-04       1.173067036257e+00       1.366361797003e-07       8.540460937563e-04      -8.733912600997e-07 
   47       1.345235394618e+03       9.648579204337e-02       7.152422969501e-04       1.040074002254e+00       1.362017814318e-07       8.362877849966e-04      -9.662148475253e-07 
   48       1.364634653357e+03       1.032809158085e-01       7.461163052910e-04       8.952136079713e-01       1.357728483051e-07       8.190601897950e-04      -1.063822541902e-06 
   49       1.384204773814e+03       1.103637474609e-01       7.776524927474e-04       7.377926725439e-01       1.353310529130e-07       8.023986271138e-04      -1.148273627240e-06 
   50       1.403916340908e+03       1.177365119110e-01       8.098497162352e-04       5.671811283805e-01       1.348438093298e-07       7.862782917598e-04      -1.202550704929e-06 
   51       1.423785125516e+03       1.253993879780e-01       8.427067873917e-04       3.832651601301e-01       1.343249974965e-07       7.707726543803e-04      -1.228817137389e-06 
   52       1.443832195824e+03       1.333514420630e-01       8.762223504505e-04       1.861094148001e-01       1.337945734213e-07       7.559296747081e-04      -1.236750653177e-06 
   53       1.464068433146e+03       1.415909582180e-01       9.103948316585e-04      -2.416805777499e-02       1.332594510472e-07       7.417152159814e-04      -1.239093805074e-06 
   54       1.484493630898e+03       1.501154075242e-01       9.452224314427e-04      -2.473937451099e-01       1.327099213387e-07       7.280006149127e-04      -1.251971481123e-06 
   55       1.505102983392e+03       1.589223929246e-01       9.807033338879e-04      -4.834083439418e-01       1.321279748015e-07       7.146221682537e-04      -1.290844240792e-06 
   56       1.525910504025e+03       1.680128287347e-01       1.016836414057e-03      -7.323007629000e-01       1.315270358044e-07       7.016169427898e-04      -1.355793946986e-06 
   57       1.546929846455e+03       1.773884973544e-01       1.053620692662e-03      -9.942286431801e-01       1.309245407108e-07       6.890508966020e-04      -1.441401242237e-06 
   58       1.568166824721e+03       1.870511502388e-01       1.091055134773e-03      -1.269352438878e+00       1.303293429630e-07       6.769480056604e-04      -1.540502626851e-06 
   59       1.589618800132e+03       1.970025152814e-01       1.129138650444e-03      -1.557836151908e+00       1.297395093607e-07       6.652840540803e-04      -1.644021255818e-06 
   60       1.611274068159e+03       2.072443041969e-01       1.167870095353e-03      -1.859848066920e+00       1.291399150975e-07       6.539801570142e-04      -1.740791644464e-06 
   61       1.633119049217e+03       2.177770153367e-01       1.207248522962e-03      -2.175509611023e+00       1.285102873655e-07       6.429403861353e-04      -1.820000491414e-06 
   62       1.655163134165e+03       2.285960114145e-01       1.247274005732e-03      -2.504726856505e+00       1.278600294584e-07       6.321954670161e-04      -1.879905926846e-06 
   63       1.677418353051e+03       2.396945704789e-01       1.287947000198e-03      -2.847322329091e+00       1.272040862054e-07       6.217951204573e-04      -1.921711643777e-06 
   64       1.699891705072e+03       2.510649825675e-01       1.329268120154e-03      -3.203082652744e+00       1.265524904433e-07       6.117646967402e-04      -1.947250369888e-06 
   65       1.722584793074e+03       2.626985188700e-01       1.371238145264e-03      -3.571757638617e+00       1.259091471743e-07       6.021018600214e-04      -1.959043962071e-06 
   66       1.745493458057e+03       2.745854008913e-01       1.413858029676e-03      -3.953059374013e+00       1.252705154969e-07       5.927731427183e-04      -1.960365527141e-06 
   67       1.768607413674e+03       2.867147696147e-01       1.457128910636e-03      -4.346661311345e+00       1.246241850560e-07       5.837103698829e-04      -1.955303568704e-06 
   68       1.791916202047e+03       2.990760002522e-01       1.501052036544e-03      -4.752251873794e+00       1.239550287538e-07       5.748379369970e-04      -1.947916919137e-06 
   69       1.815429279570e+03       3.116630247795e-01       1.545628514920e-03      -5.169709921867e+00       1.232702831150e-07       5.661729399641e-04      -1.939245247818e-06 
   70       1.839159363123e+03       3.244708338878e-01       1.590859528606e-03      -5.598963367704e+00       1.225817019821e-07       5.577486214207e-04      -1.929514143444e-06 
   71       1.863116268688e+03       3.374942124051e-01       1.636746418253e-03      -6.039938278770e+00       1.218981017807e-07       5.495843739068e-04      -1.918969134053e-06 
   72       1.887306707522e+03       3.507277428734e-01       1.683290688868e-03      -6.492559361096e+00       1.212246823892e-07       5.416840303184e-04      -1.907875963824e-06 
   73       1.911734082334e+03       3.641658091257e-01       1.730494016369e-03      -6.956750442531e+00       1.205622961326e-07       5.340340937589e-04      -1.896520854620e-06 
   74       1.936398283451e+03       3.778025998631e-01       1.778358254145e-03      -7.432434955986e+00       1.199066634040e-07       5.266019067921e-04      -1.885210752308e-06 
   75       1.961295484992e+03       3.916321122320e-01       1.826885439601e-03      -7.919536422678e+00       1.192475334184e-07       5.193337600943e-04      -1.874273557813e-06 
   76       1.986421195258e+03       4.056475102516e-01       1.876077481864e-03      -8.417938154745e+00       1.185732214900e-07       5.121741935944e-04      -1.864040658422e-06 
   77       2.011780500630e+03       4.198390571217e-01       1.925935144632e-03      -8.927352811192e+00       1.178882718606e-07       5.051344986550e-04      -1.854788453646e-06 
   78       2.037379328061e+03       4.341958106085e-01       1.976458888886e-03      -9.447429822288e+00       1.172005107847e-07       4.982393037725e-04      -1.846781261088e-06 
