# total lensed [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 6000, i.e. number of multipoles equal to 5999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
    2       1.015672861523e+03       3.133390970069e-02       3.259087672246e-07       2.619857947998e+00       4.770880037048e-08       2.975871152915e-03      -1.231672700459e-05 
    3       9.614269919673e+02       4.128567985233e-02       6.525554884869e-07       2.971170732716e+00       5.894400914366e-08       2.987914087595e-03      -1.341914374173e-05 
    4       9.097767937137e+02       3.680852828067e-02       1.089211085092e-06       2.804973327284e+00       6.815503014655e-08       2.915976956327e-03      -1.160643187071e-05 
    5       8.710049146690e+02       2.535025892167e-02       1.636801030718e-06       2.411270858337e+00       7.591316901038e-08       2.813117631084e-03      -8.200833142929e-06 
    6       8.443469882575e+02       1.454838851273e-02       2.296433740599e-06       1.959288111234e+00       8.255017138892e-08       2.700687350071e-03      -4.325724177956e-06 
    7       8.274854758401e+02       7.875727904754e-03       3.069371063236e-06       1.549214243019e+00       8.830948532535e-08       2.588333156583e-03      -8.844653332878e-07 
    8       8.175379990325e+02       4.944823517516e-03       3.956995496267e-06       1.227018708070e+00       9.334685734687e-08       2.479249369399e-03       1.542413893717e-06 
    9       8.130178378006e+02       3.917083740516e-03       4.960775374880e-06       1.005353414861e+00       9.778540826843e-08       2.374400522449e-03       2.727585693665e-06 
   10       8.125654397840e+02       3.381024576450e-03       6.082229347050e-06       8.772280838217e-01       1.017212877586e-07       2.275962860484e-03       2.763632061362e-06 
   11       8.151033240803e+02       2.870026128145e-03       7.322891461449e-06       8.252570451177e-01       1.044826935475e-07       2.207663291246e-03       1.979948505521e-06 
   12       8.203880096114e+02       2.471879729613e-03       8.684278150765e-06       8.277062437030e-01       1.076288185020e-07       2.122069043736e-03       7.942471072680e-07 
   13       8.273829661130e+02       2.317817936605e-03       1.016785829714e-05       8.640057891170e-01       1.104028275733e-07       2.041162721668e-03      -3.815175083432e-07 
   14       8.355822985334e+02       2.383688304759e-03       1.177502742165e-05       9.184905701200e-01       1.128443979706e-07       1.959683456821e-03      -1.249222514771e-06 
   15       8.452006941196e+02       2.569351688809e-03       1.350708685225e-05       9.804625794111e-01       1.149899916394e-07       1.885399996017e-03      -1.653521948761e-06 
   16       8.561589826840e+02       2.824539382105e-03       1.536522850241e-05       1.043725848588e+00       1.168706930566e-07       1.817937302913e-03      -1.605436211114e-06 
   17       8.676209774034e+02       3.176111310683e-03       1.735052564480e-05       1.106525765473e+00       1.185126881390e-07       1.753849368250e-03      -1.237192587037e-06 
   18       8.799082750307e+02       3.677783577835e-03       1.946392689470e-05       1.169377014644e+00       1.198922081738e-07       1.689439917288e-03      -7.486059244254e-07 
   19       8.931141589143e+02       4.345515711424e-03       2.170627360950e-05       1.233938566126e+00       1.211670872144e-07       1.627322267728e-03      -2.944645104383e-07 
   20       9.067302441908e+02       5.175110596299e-03       2.407827655691e-05       1.302044063133e+00       1.222096512086e-07       1.568926894460e-03      -3.041054154338e-08 
   21       9.208498255587e+02       6.156741237338e-03       2.658057179292e-05       1.374029314281e+00       1.231045755986e-07       1.515826573260e-03      -5.032461756150e-10 
   22       9.355182437266e+02       7.276656316910e-03       2.921369338025e-05       1.449210329153e+00       1.238270059675e-07       1.466984435497e-03      -1.765231452613e-07 
   23       9.506630323184e+02       8.538433548599e-03       3.197813998625e-05       1.525569242347e+00       1.244442250848e-07       1.421359232122e-03      -4.855539419965e-07 
   24       9.660381208374e+02       9.948945065264e-03       3.487434734813e-05       1.600226161293e+00       1.249113907372e-07       1.376237265737e-03      -8.127544035347e-07 
   25       9.817186636126e+02       1.150621462614e-02       3.790276533543e-05       1.670632975360e+00       1.252810161924e-07       1.331828418988e-03      -1.075961631141e-06 
   26       9.977686334508e+02       1.320681130622e-02       4.106382551887e-05       1.734307515075e+00       1.255330819027e-07       1.288589075243e-03      -1.204336559926e-06 
   27       1.014203977444e+03       1.506254548742e-02       4.435800715988e-05       1.790071875800e+00       1.256937552733e-07       1.247797160707e-03      -1.189402343696e-06 
   28       1.030953401160e+03       1.709040231140e-02       4.778581442404e-05       1.837339170779e+00       1.257292893109e-07       1.210248924273e-03      -1.058026480262e-06 
   29       1.048045965636e+03       1.930324359748e-02       5.134784912521e-05       1.876319482114e+00       1.257093015180e-07       1.175904073116e-03      -8.572549694824e-07 
   30       1.065447028593e+03       2.171330045166e-02       5.504476397788e-05       1.907719688781e+00       1.256534052067e-07       1.143247600536e-03      -6.618369940919e-07 
   31       1.083045456124e+03       2.433237882136e-02       5.887725652742e-05       1.932363217564e+00       1.254860690925e-07       1.109894009759e-03      -5.569794599315e-07 
   32       1.100867445402e+03       2.716742615257e-02       6.284610906838e-05       1.950257183115e+00       1.252498508498e-07       1.076454770831e-03      -5.539379554033e-07 
