# total lensed [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 6000, i.e. number of multipoles equal to 5999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
    2       1.015537539384e+03       3.132595932065e-02       7.688918828639e-07       2.619038425215e+00       4.824855344787e-08       2.981035915525e-03      -1.231519328748e-05 
    3       9.612953536919e+02       4.127334725322e-02       1.538610875456e-06       2.969788869716e+00       5.969845636017e-08       2.998204391003e-03      -1.341705951053e-05 
    4       9.095874810517e+02       3.679512121412e-02       2.566166296578e-06       2.803079304834e+00       6.940681049775e-08       2.932177658588e-03      -1.160422127215e-05 
    5       8.706941866186e+02       2.533741817307e-02       3.852597301637e-06       2.408927115415e+00       7.773211192990e-08       2.834848812127e-03      -8.198659503800e-06 
    6       8.438553243277e+02       1.453655815300e-02       5.399150102740e-06       1.956521203163e+00       8.492048121874e-08       2.727360674758e-03      -4.323502605351e-06 
    7       8.267567319000e+02       7.865233025583e-03       7.207245831553e-06       1.545988966961e+00       9.117924216030e-08       2.619365085273e-03      -8.819494905433e-07 
    8       8.165164144832e+02       4.935999946392e-03       9.278444829235e-06       1.223255501999e+00       9.664825568041e-08       2.514131876518e-03       1.545544677912e-06 
    9       8.116533516886e+02       3.909720470118e-03       1.161440872108e-05       1.000945934189e+00       1.014618438625e-07       2.412789777172e-03       2.731621380390e-06 
   10       8.108119633875e+02       3.374075721070e-03       1.421686170564e-05       8.720409694563e-01       1.057497894555e-07       2.317706013357e-03       2.768694643498e-06 
   11       8.129112863003e+02       2.861911551756e-03       1.708755250113e-05       8.191293565261e-01       1.079498722008e-07       2.245494731972e-03       1.985787322451e-06 
   12       8.177132865405e+02       2.461027069579e-03       2.022821834607e-05       8.204779255785e-01       1.114076821021e-07       2.162702575129e-03       8.005509017562e-07 
   13       8.241841867095e+02       2.302924242084e-03       2.364055234692e-05       8.555499428020e-01       1.144930623280e-07       2.084493180108e-03      -3.754049033958e-07 
   14       8.318221958695e+02       2.363501871372e-03       2.732617530940e-05       9.087190173836e-01       1.172454655439e-07       2.005557785088e-03      -1.243923824188e-06 
   15       8.408442787003e+02       2.542239072319e-03       3.128661298677e-05       9.693166236851e-01       1.197011300643e-07       1.933656284274e-03      -1.649530578298e-06 
