# total lensed [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 6000, i.e. number of multipoles equal to 5999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
    2       1.015499181276e+03       3.132544354514e-02       1.328817028623e-06       2.618922568519e+00       4.871150977050e-08       2.982787724749e-03      -1.231502613317e-05 
    3       9.612484453255e+02       4.127277500842e-02       2.658501525240e-06       2.969597038251e+00       6.011014211586e-08       3.000776505909e-03      -1.341682817174e-05 
    4       9.095238478504e+02       3.679504630379e-02       4.432739229188e-06       2.802823016028e+00       6.987000055736e-08       2.936330266596e-03      -1.160397167364e-05 
    5       8.706007422367e+02       2.533817127050e-02       6.652619898704e-06       2.408603067635e+00       7.835760198694e-08       2.840872818517e-03      -8.198405644513e-06 
    6       8.437183092874e+02       1.453839278587e-02       9.319450344076e-06       1.956125082990e+00       8.577699336339e-08       2.735284197901e-03      -4.323231359807e-06 
    7       8.265619634738e+02       7.868395478451e-03       1.243472067524e-05       1.545516629178e+00       9.229922895342e-08       2.629090997148e-03      -8.816303106547e-07 
    8       8.162499412571e+02       4.940700368910e-03       1.600006680011e-05       1.222697684830e+00       9.803861700095e-08       2.525519174381e-03       1.545951504106e-06 
    9       8.113029223880e+02       3.916059974353e-03       2.001723060117e-05       1.000287919157e+00       1.031172258894e-07       2.425709188294e-03       2.732156474006e-06 
   10       8.103660721441e+02       3.382023741515e-03       2.448801929383e-05       8.712602178535e-01       1.076658268622e-07       2.332081663088e-03       2.769381619349e-06 
   11       8.123576933690e+02       2.871360610475e-03       2.941426548389e-05       8.181935635773e-01       1.092167992310e-07       2.255528942597e-03       1.986605829777e-06 
   12       8.170390379707e+02       2.471873099667e-03       3.479778939326e-05       8.193500233498e-01       1.127883345825e-07       2.173607334672e-03       8.014539112715e-07 
   13       8.233772214982e+02       2.315098489323e-03       4.064036461399e-05       8.541978762054e-01       1.159875357961e-07       2.096234861596e-03      -3.745163736885e-07 
   14       8.308716924635e+02       2.376925386000e-03       4.694368858632e-05       9.071173023549e-01       1.188538144646e-07       2.018081511171e-03      -1.243147792017e-06 
   15       8.397389423939e+02       2.556748903559e-03       5.370935878304e-05       9.674444740059e-01       1.214233679402e-07       1.946903214138e-03      -1.648948032872e-06 
   16       8.498942273366e+02       2.803587637002e-03       6.093885532900e-05       1.029021789029e+00       1.237270278739e-07       1.882328456067e-03      -1.602514771569e-06 
   17       8.605218476437e+02       3.143778038950e-03       6.863353050235e-05       1.090105508014e+00       1.257907345253e-07       1.820939667241e-03      -1.235569527593e-06 
   18       8.719311558840e+02       3.630868932637e-03       7.679460192781e-05       1.151222184638e+00       1.275874732177e-07       1.759070924359e-03      -7.474669565588e-07 
   19       8.842169915213e+02       4.280756543143e-03       8.542317265705e-05       1.214042434370e+00       1.292838764672e-07       1.699403944768e-03      -2.928064839424e-07 
   20       8.968800549146e+02       5.089209659320e-03       9.452020452859e-05       1.280409409924e+00       1.307432933681e-07       1.643358406348e-03      -2.727103918936e-08 
   21       9.100114685629e+02       6.046118124373e-03       1.040865824951e-04       1.350670336188e+00       1.320524291526e-07       1.592480763958e-03       4.785537129228e-09 
   22       9.236513039179e+02       7.137366119642e-03       1.141230834594e-04       1.424153931893e+00       1.331861980785e-07       1.545674361993e-03      -1.689440345778e-07 
   23       9.377323921703e+02       8.366232156002e-03       1.246304530859e-04       1.498861210806e+00       1.342139053443e-07       1.501939949699e-03      -4.759751316581e-07 
   24       9.520164991615e+02       9.739317873483e-03       1.356093743506e-04       1.571932923831e+00       1.350877879962e-07       1.458624160909e-03      -8.018873240916e-07 
   25       9.665776551858e+02       1.125439446192e-02       1.470605566509e-04       1.640836745241e+00       1.358619033528e-07       1.415939185749e-03      -1.064688230913e-06 
   26       9.814758333785e+02       1.290775988001e-02       1.589846986475e-04       1.703102822127e+00       1.365150593712e-07       1.374303002906e-03      -1.193543045276e-06 
   27       9.967273137680e+02       1.471080494770e-02       1.713825648134e-04       1.757558640126e+00       1.370740296411e-07       1.334992890477e-03      -1.179754846771e-06 
   28       1.012262236800e+03       1.668005527338e-02       1.842549594981e-04       1.803619750410e+00       1.375030566392e-07       1.298806531345e-03      -1.049805358083e-06 
   29       1.028110066066e+03       1.882803980894e-02       1.976028120587e-04       1.841503120968e+00       1.378744668772e-07       1.265723138285e-03      -8.503836236647e-07 
   30       1.044235998881e+03       2.116670425214e-02       2.114271225253e-04       1.871922885432e+00       1.382083439355e-07       1.234239542848e-03      -6.557949024376e-07 
   31       1.060528595071e+03       2.370757318015e-02       2.257289551805e-04       1.895710112501e+00       1.384253391723e-07       1.201968304943e-03      -5.508008813498e-07 
   32       1.077014419198e+03       2.645727759115e-02       2.405094870044e-04       1.912886116303e+00       1.385697579371e-07       1.169534998043e-03      -5.467639760108e-07 
   33       1.093704595161e+03       2.942023825315e-02       2.557699920178e-04       1.923251825194e+00       1.386697852852e-07       1.138416221005e-03      -6.221806011025e-07 
   34       1.110562292941e+03       3.260047947081e-02       2.715118190436e-04       1.926493460964e+00       1.386896575581e-07       1.109738935831e-03      -7.439032360122e-07 
   35       1.127616622353e+03       3.600425655525e-02       2.877363266702e-04       1.921720778919e+00       1.386608844882e-07       1.083535709394e-03      -8.808343544163e-07 
   36       1.144876251904e+03       3.963827841101e-02       3.044449381839e-04       1.907749530857e+00       1.385901397828e-07       1.058935071961e-03      -9.937642715314e-07 
   37       1.162317080568e+03       4.350895863856e-02       3.216390987221e-04       1.883416085459e+00       1.384387336462e-07       1.034676052565e-03      -1.041998784669e-06 
