# total lensed [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 6000, i.e. number of multipoles equal to 5999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
    2       1.015494588678e+03       3.132563846874e-02       1.634438978791e-06       2.618912056044e+00       4.890723264835e-08       2.983268954643e-03      -1.231500736559e-05 
    3       9.612431063530e+02       4.127319718836e-02       3.269756092777e-06       2.969580296898e+00       6.035116028696e-08       3.001275737074e-03      -1.341679947736e-05 
    4       9.095168039161e+02       3.679584841173e-02       5.451520121703e-06       2.802796778502e+00       7.012769630322e-08       2.937016887327e-03      -1.160394070467e-05 
    5       8.705894460953e+02       2.533948047415e-02       8.180833880970e-06       2.408568658005e+00       7.862562684244e-08       2.841869794375e-03      -8.198374802139e-06 
    6       8.437004295841e+02       1.454031244330e-02       1.145901953916e-05       1.956084723785e+00       8.606126620664e-08       2.736637840288e-03      -4.323198548694e-06 
    7       8.265367565596e+02       7.871030966525e-03       1.528758428206e-05       1.545468253179e+00       9.261049126622e-08       2.630805487774e-03      -8.815921198544e-07 
    8       8.162159656540e+02       4.944158107761e-03       1.966818216599e-05       1.222638967308e+00       9.838780331885e-08       2.527588178441e-03       1.545998806770e-06 
    9       8.112579305265e+02       3.920432512596e-03       2.460257361431e-05       1.000218155285e+00       1.035140181913e-07       2.428121422283e-03       2.732216257684e-06 
   10       8.103080994637e+02       3.387386634352e-03       3.009258408828e-05       8.711779687353e-01       1.081193040177e-07       2.334830477259e-03       2.769455611633e-06 
   11       8.122850355247e+02       2.877781457377e-03       3.614006347749e-05       8.180954468099e-01       1.094908763730e-07       2.257156305757e-03       1.986693275076e-06 
   12       8.169500303925e+02       2.479421508430e-03       4.274684770588e-05       8.192316292078e-01       1.130868604846e-07       2.175399939510e-03       8.015510881355e-07 
   13       8.232705101606e+02       2.323849421087e-03       4.991472393849e-05       8.540547105083e-01       1.163105278466e-07       2.098191161841e-03      -3.744189730840e-07 
   14       8.307454649424e+02       2.386954447148e-03       5.764540060626e-05       9.069463010695e-01       1.192012861669e-07       2.020185967263e-03      -1.243062850110e-06 
   15       8.395915570529e+02       2.568121070851e-03       6.594048324899e-05       9.672440708977e-01       1.217953255353e-07       1.949131333429e-03      -1.648887298864e-06 
   16       8.497235468084e+02       2.816351784285e-03       7.480145691840e-05       1.028790452382e+00       1.241234727550e-07       1.884663897269e-03      -1.602481561120e-06 
   17       8.603270780527e+02       3.157971532983e-03       8.422967559546e-05       1.089842105872e+00       1.262116635583e-07       1.823389887760e-03      -1.235556292305e-06 
   18       8.717108209206e+02       3.646526351689e-03       9.422635536882e-05       1.150925601038e+00       1.280326017674e-07       1.761654544398e-03      -7.474581440943e-07 
   19       8.839694108393e+02       4.297908319079e-03       1.047925950247e-04       1.213712100480e+00       1.297537413827e-07       1.702132142482e-03      -2.927847439481e-07 
   20       8.966037664302e+02       5.107881607341e-03       1.159293489951e-04       1.280045508355e+00       1.312376550320e-07       1.646218779405e-03      -2.722165429888e-08 
   21       9.097051363977e+02       6.066331439606e-03       1.276374930492e-04       1.350273175682e+00       1.325711509205e-07       1.595452065080e-03       4.872441665494e-09 
   22       9.233136488742e+02       7.159136838619e-03       1.399177926319e-04       1.423723752431e+00       1.337292424338e-07       1.548732272983e-03      -1.688174770635e-07 
   23       9.373619703505e+02       8.389566718870e-03       1.527709812622e-04       1.498398649351e+00       1.347813641535e-07       1.505061884455e-03      -4.758137965349e-07 
   24       9.516116971004e+02       9.764212406757e-03       1.661977285833e-04       1.571439177296e+00       1.356795467755e-07       1.461793741026e-03      -8.017031031056e-07 
   25       9.661372125405e+02       1.128084122955e-02       1.801987312789e-04       1.640313483942e+00       1.364779391973e-07       1.419154240691e-03      -1.064495266764e-06 
   26       9.809989334829e+02       1.293574857147e-02       1.947746753118e-04       1.702552141773e+00       1.371553012050e-07       1.377577233203e-03      -1.193354838217e-06 
   27       9.962129110775e+02       1.474031545356e-02       2.099263140245e-04       1.756982934085e+00       1.377384460743e-07       1.338334827712e-03      -1.179581806766e-06 
   28       1.011708877339e+03       1.671105585055e-02       2.256544418070e-04       1.803021644214e+00       1.381914979230e-07       1.302211378712e-03      -1.049652584140e-06 
   29       1.027516343426e+03       1.886049206917e-02       2.419599808891e-04       1.840885457857e+00       1.385869414193e-07       1.269187312669e-03      -8.502507021150e-07 
   30       1.043600726564e+03       2.120056518676e-02       2.588439261204e-04       1.871288686859e+00       1.389448905998e-07       1.237766533833e-03      -6.556742306515e-07 
   31       1.059850795069e+03       2.374279497900e-02       2.763073384935e-04       1.895062587652e+00       1.391857796922e-07       1.205568374196e-03      -5.506773482913e-07 
   32       1.076293073914e+03       2.649380394319e-02       2.943513944136e-04       1.912228886788e+00       1.393540166977e-07       1.173216822309e-03      -5.466227950776e-07 
   33       1.092938543943e+03       2.945800282833e-02       3.129773699698e-04       1.922589015361e+00       1.394778418605e-07       1.142181893082e-03      -6.220114423581e-07 
   34       1.109750225203e+03       3.263940635505e-02       3.321866183304e-04       1.925829709943e+00       1.395213753943e-07       1.113582501505e-03      -7.437022585023e-07 
   35       1.126757206418e+03       3.604426443407e-02       3.519805032481e-04       1.921061168346e+00       1.395162009445e-07       1.087449903635e-03      -8.806041821805e-07 
   36       1.143968174416e+03       3.967928239161e-02       3.723604553339e-04       1.907099567053e+00       1.394689952111e-07       1.062913482544e-03      -9.935155435786e-07 
   37       1.161359047858e+03       4.355087012356e-02       3.933279283538e-04       1.882781687068e+00       1.393409435407e-07       1.038713507297e-03      -1.041749880787e-06 
   38       1.178955566658e+03       4.766501749625e-02       4.148841645689e-04       1.847674312330e+00       1.391700515321e-07       1.014952186260e-03      -1.025567241869e-06 
   39       1.196769428133e+03       5.202733782582e-02       4.370303575542e-04       1.801595443657e+00       1.389917198956e-07       9.920059630785e-04      -9.632351931265e-07 
   40       1.214770639194e+03       5.664306979378e-02       4.597677167260e-04       1.744429335744e+00       1.387927961987e-07       9.700324042508e-04      -8.819525905724e-07 
   41       1.232910424721e+03       6.151707557845e-02       4.830973649399e-04       1.676141269799e+00       1.385266993148e-07       9.490071455299e-04      -8.122429095597e-07 
   42       1.251209328470e+03       6.665389380725e-02       5.070199881199e-04       1.596818258845e+00       1.382157831406e-07       9.289858458960e-04      -7.645982427057e-07 
   43       1.269690505468e+03       7.205766232932e-02       5.315360737232e-04       1.506648172386e+00       1.378852132850e-07       9.098821712687e-04      -7.437050295021e-07 
   44       1.288352548072e+03       7.773207423226e-02       5.566459988326e-04       1.405914587012e+00       1.375277358542e-07       8.913502693087e-04      -7.543259739715e-07 
   45       1.307181172661e+03       8.368054388178e-02       5.823499546628e-04       1.294844410945e+00       1.371158228215e-07       8.729384083934e-04      -7.994022657431e-07 
   46       1.326194242358e+03       8.990681873892e-02       6.086477071091e-04       1.173085557360e+00       1.366734454456e-07       8.547420319588e-04      -8.734526150386e-07 
   47       1.345406020291e+03       9.641451110821e-02       6.355387545459e-04       1.040080967941e+00       1.362285666636e-07       8.369644596747e-04      -9.661773571825e-07 
   48       1.364812589463e+03       1.032069129308e-01       6.630223815218e-04       8.952077371370e-01       1.357890447465e-07       8.197289769713e-04      -1.063682353315e-06 
   49       1.384390207765e+03       1.102869835495e-01       6.910976488347e-04       7.377726868470e-01       1.353365299556e-07       8.030627419095e-04      -1.148067936984e-06 
   50       1.404109469820e+03       1.176569469707e-01       7.197634299788e-04       5.671457408033e-01       1.348383891431e-07       7.869324449536e-04      -1.202355448891e-06 
   51       1.423986140703e+03       1.253169831577e-01       7.490185551709e-04       3.832129942649e-01       1.343085338945e-07       7.714098484846e-04      -1.228702617780e-06 
   52       1.444041276997e+03       1.332661603549e-01       7.788616892632e-04       1.860389755424e-01       1.337669617848e-07       7.565432873353e-04      -1.236764005681e-06 
   53       1.464285746180e+03       1.415027646586e-01       8.092912812304e-04      -2.425839458504e-02       1.332206056639e-07       7.422992240680e-04      -1.239251687350e-06 
   54       1.484719325481e+03       1.500242694049e-01       8.403055564275e-04      -2.475057434928e-01       1.326597467242e-07       7.285498433742e-04      -1.252252004860e-06 
   55       1.505337195595e+03       1.588282796207e-01       8.719027245055e-04      -4.835438987328e-01       1.320663511768e-07       7.151324376375e-04      -1.291188197227e-06 
   56       1.526153375309e+03       1.679157102533e-01       9.040816813804e-04      -7.324618243477e-01       1.314538719288e-07       7.020848084598e-04      -1.356139893081e-06 
   57       1.547181530123e+03       1.772883438625e-01       9.368414680875e-04      -9.944171921996e-01       1.308397804040e-07       6.894736902201e-04      -1.441697810513e-06 
   58       1.568427487788e+03       1.869479319509e-01       9.701810710463e-04      -1.269570480823e+00       1.302329504399e-07       6.773240028185e-04      -1.540712153444e-06 
   59       1.589888625276e+03       1.968962023414e-01       1.004099422721e-03      -1.558085710001e+00       1.296314509999e-07       6.656126552934e-04      -1.644123768173e-06 
   60       1.611553255756e+03       2.071348665555e-01       1.038595402281e-03      -1.860131175336e+00       1.290201373277e-07       6.542620824987e-04      -1.740789221731e-06 
   61       1.633407816148e+03       2.176644226965e-01       1.073668085718e-03      -2.175828317091e+00       1.283787077459e-07       6.431776537582e-04      -1.819916709007e-06 
   62       1.655461701883e+03       2.284802334100e-01       1.109317560313e-03      -2.505083253427e+00       1.277165846886e-07       6.323906001308e-04      -1.879767692152e-06 
   63       1.677726944119e+03       2.395755766655e-01       1.145544294987e-03      -2.847718564417e+00       1.270487408314e-07       6.219508934624e-04      -1.921543437717e-06 
   64       1.700210542777e+03       2.509427423386e-01       1.182348915384e-03      -3.203520927944e+00       1.263852286131e-07       6.118840826183e-04      -1.947073193304e-06 
   65       1.722914101022e+03       2.625730013716e-01       1.219732212441e-03      -3.572240208615e+00       1.257299625433e-07       6.021879703470e-04      -1.958874182640e-06 
   66       1.745833459745e+03       2.744565749332e-01       1.257695150968e-03      -3.953588546676e+00       1.250793991364e-07       5.928291598401e-04      -1.960213623448e-06 
