# total lensed [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 6000, i.e. number of multipoles equal to 5999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
    2       1.015494274304e+03       3.132583567457e-02       1.842875383972e-06       2.618910738997e+00       4.903189928574e-08       2.983051598493e-03      -1.231531685319e-05 
    3       9.612426842060e+02       4.127359616085e-02       3.686638326823e-06       2.969578229357e+00       6.053850042403e-08       3.000809620539e-03      -1.341697410761e-05 
    4       9.095162884900e+02       3.679652225086e-02       6.146344484345e-06       2.802794012133e+00       7.035693229441e-08       2.936401316488e-03      -1.160395412974e-05 
    5       8.705887480719e+02       2.534050078413e-02       9.223108407837e-06       2.408565100765e+00       7.889489695325e-08       2.841208746487e-03      -8.198293913044e-06 
    6       8.436994061569e+02       1.454174928644e-02       1.291826625158e-05       1.956080287671e+00       8.637395095126e-08       2.735991728257e-03      -4.323082597056e-06 
    7       8.265350931607e+02       7.872954299275e-03       1.723334102331e-05       1.545463033008e+00       9.297061714725e-08       2.630209198439e-03      -8.814744201369e-07 
    8       8.162134360780e+02       4.946637869014e-03       2.217000398144e-05       1.222632871449e+00       9.880022385982e-08       2.527067615618e-03       1.546102426114e-06 
    9       8.112545201223e+02       3.923537673548e-03       2.773003365213e-05       1.000210979017e+00       1.039818725103e-07       2.427692005918e-03       2.732300015793e-06 
   10       8.103036678687e+02       3.391184639359e-03       3.391527401721e-05       8.711695011138e-01       1.086428317153e-07       2.334501272786e-03       2.769519588931e-06 
   11       8.122793241522e+02       2.882338731320e-03       4.072759343840e-05       8.180852367057e-01       1.094694116544e-07       2.256563866627e-03       1.986735946468e-06 
   12       8.169428380899e+02       2.484804125798e-03       4.816884583342e-05       8.192194059879e-01       1.130738997762e-07       2.174584573049e-03       8.015930118305e-07 
   13       8.232617617171e+02       2.330123317183e-03       5.624083550670e-05       8.540400908753e-01       1.163062179451e-07       2.097705967579e-03      -3.744349136960e-07 
   14       8.307350142380e+02       2.394185981245e-03       6.494528686777e-05       9.069286925888e-01       1.192077933660e-07       2.019548809108e-03      -1.243023715474e-06 
   15       8.395792731691e+02       2.576376462880e-03       7.428382004988e-05       9.672232209433e-01       1.218134044586e-07       1.948713017321e-03      -1.648944529600e-06 
   16       8.497091891225e+02       2.825695523306e-03       8.425793317994e-05       1.028766348572e+00       1.241536723734e-07       1.884099048401e-03      -1.602385751678e-06 
   17       8.603106210545e+02       3.168466895487e-03       9.486899175888e-05       1.089814493836e+00       1.262552820295e-07       1.822986668073e-03      -1.235617606847e-06 
   18       8.716920760002e+02       3.658235671766e-03       1.061182218525e-04       1.150894496444e+00       1.280901400550e-07       1.761400787947e-03      -7.476020883227e-07 
   19       8.839481921495e+02       4.310893543058e-03       1.180067310756e-04       1.213677414950e+00       1.298268119440e-07       1.701883815347e-03      -2.928480945114e-07 
   20       8.965799888667e+02       5.122204576493e-03       1.305354812582e-04       1.280006905721e+00       1.313265278233e-07       1.645983548886e-03      -2.723784156795e-08 
   21       9.096786927207e+02       6.082053646192e-03       1.437053551490e-04       1.350230598782e+00       1.326760882598e-07       1.595268546375e-03       4.857691713914e-09 
   22       9.232843700607e+02       7.176319292540e-03       1.575171244086e-04       1.423677559776e+00       1.338513325808e-07       1.548619421210e-03      -1.688136655132e-07 
   23       9.373296908083e+02       8.408269485151e-03       1.719715291683e-04       1.498349072729e+00       1.349215577834e-07       1.505017951230e-03      -4.757782165501e-07 
   24       9.515762776887e+02       9.784494426057e-03       1.870692457346e-04       1.571386179407e+00       1.358382319423e-07       1.461797572746e-03      -8.016523156740e-07 
   25       9.660985312548e+02       1.130276050446e-02       2.028109788048e-04       1.640257192693e+00       1.366553905514e-07       1.419198571695e-03      -1.064446680924e-06 
   26       9.809568827022e+02       1.295936217235e-02       2.191974232902e-04       1.702492928340e+00       1.373519452900e-07       1.377679931498e-03      -1.193314794663e-06 
   27       9.961673909009e+02       1.476567934465e-02       2.362293435213e-04       1.756920960903e+00       1.379547243903e-07       1.338502449055e-03      -1.179551941919e-06 
   28       1.011659789752e+03       1.673822484322e-02       2.539075466403e-04       1.802956774582e+00       1.384278472874e-07       1.302427138535e-03      -1.049631645941e-06 
