# total lensed [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 6000, i.e. number of multipoles equal to 5999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
    2       1.015494230853e+03       3.132583294858e-02       1.841456346346e-06       2.618910599825e+00       4.898855367855e-08       2.982482649114e-03      -1.231505335355e-05 
    3       9.612426042971e+02       4.127359129043e-02       3.683794355585e-06       2.969577991496e+00       6.048251531340e-08       3.000074867973e-03      -1.341684816695e-05 
    4       9.095160999223e+02       3.679651515105e-02       6.141591538153e-06       2.802793708187e+00       7.028883573570e-08       2.935525967799e-03      -1.160398400504e-05 
    5       8.705884166039e+02       2.534049113055e-02       9.215954880790e-06       2.408564754153e+00       7.881316272620e-08       2.840209538483e-03      -8.198409846058e-06 
    6       8.436989326889e+02       1.454173672831e-02       1.290821132800e-05       1.956079862175e+00       8.627678393058e-08       2.734881745799e-03      -4.323225325685e-06 
    7       8.265344417064e+02       7.872938433325e-03       1.721987318250e-05       1.545462507589e+00       9.285638972589e-08       2.628998981145e-03      -8.816121282923e-07 
    8       8.162125695636e+02       4.946618156029e-03       2.215259966928e-05       1.222632248986e+00       9.866774102453e-08       2.525767061677e-03       1.545983312608e-06 
    9       8.112534070704e+02       3.923513455315e-03       2.770815612996e-05       1.000210207635e+00       1.038301957074e-07       2.426310115676e-03       2.732202804975e-06 
   10       8.103022755705e+02       3.391155105733e-03       3.388837239190e-05       8.711686019029e-01       1.084709645648e-07       2.333045073998e-03       2.769442293878e-06 
   11       8.122776016188e+02       2.882302873043e-03       4.069510187092e-05       8.180842222603e-01       1.093135405856e-07       2.255051190745e-03       1.986671639323e-06 
