# total lensed [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 6000, i.e. number of multipoles equal to 5999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
    2       1.015494245062e+03       3.132585345791e-02       1.861845190981e-06       2.618910620255e+00       4.899299243597e-08       2.982535437410e-03      -1.231521825082e-05 
    3       9.612426321584e+02       4.127363225412e-02       3.724573279513e-06       2.969578017269e+00       6.048832623485e-08       3.000146889429e-03      -1.341704256575e-05 
    4       9.095161472073e+02       3.679658334506e-02       6.209559121723e-06       2.802793736813e+00       7.029591000838e-08       2.935614849556e-03      -1.160412758120e-05 
    5       8.705884890797e+02       2.534059332791e-02       9.317911259130e-06       2.408564789385e+00       7.882163006874e-08       2.840312969178e-03      -8.198472952226e-06 
    6       8.436990334133e+02       1.454187971763e-02       1.305095850419e-05       1.956079901440e+00       8.628682685113e-08       2.734997892056e-03      -4.323217515629e-06 
    7       8.265345814116e+02       7.873129014430e-03       1.741021529502e-05       1.545462550828e+00       9.286818892889e-08       2.629126452205e-03      -8.815580023085e-07 
    8       8.162127515492e+02       4.946863128325e-03       2.239734320893e-05       1.222632304249e+00       9.868144023432e-08       2.525904785165e-03       1.546059763056e-06 
    9       8.112536383874e+02       3.923819631126e-03       2.801411010351e-05       1.000210271901e+00       1.038459163516e-07       2.426457038094e-03       2.732284521319e-06 
   10       8.103025555682e+02       3.391529328992e-03       3.426234843200e-05       8.711686716076e-01       1.084888336841e-07       2.333200420089e-03       2.769520043011e-06 
   11       8.122779481696e+02       2.882751993688e-03       4.114391429389e-05       8.180843043378e-01       1.093297799572e-07       2.255265040399e-03       1.986718077438e-06 
   12       8.169411744216e+02       2.485291997695e-03       4.866064873167e-05       8.192182692678e-01       1.129200056457e-07       2.173495609189e-03       8.017143532339e-07 
   13       8.232598003405e+02       2.330691958568e-03       5.681434267290e-05       8.540387857709e-01       1.161389686012e-07       2.096173250935e-03      -3.742216966337e-07 
   14       8.307327128260e+02       2.394840927429e-03       6.560670674660e-05       9.069272659400e-01       1.190265504148e-07       2.018134226287e-03      -1.242984548872e-06 
   15       8.395766022569e+02       2.577123352990e-03       7.503934698393e-05       9.672214845432e-01       1.216182024576e-07       1.947137999550e-03      -1.648980259779e-06 
   16       8.497061142178e+02       2.826540816705e-03       8.511374715163e-05       1.028764284750e+00       1.239445905233e-07       1.882853992702e-03      -1.602564386926e-06 
   17       8.603071534690e+02       3.169415793226e-03       9.583125817630e-05       1.089812349673e+00       1.260315996583e-07       1.821610982808e-03      -1.235385880284e-06 
   18       8.716881782809e+02       3.659292330783e-03       1.071930913682e-04       1.150891935427e+00       1.278522414421e-07       1.759795795568e-03      -7.472791674297e-07 
   19       8.839438226751e+02       4.312063250746e-03       1.192003393614e-04       1.213674282411e+00       1.295750890050e-07       1.700234857629e-03      -2.928297304898e-07 
   20       8.965751280985e+02       5.123494327051e-03       1.318539488685e-04       1.280003554074e+00       1.310610407701e-07       1.644471809463e-03      -2.741061577417e-08 
   21       9.096733243828e+02       6.083469822136e-03       1.451547872123e-04       1.350227301823e+00       1.323966496192e-07       1.593915166280e-03       4.745319830419e-09 
   22       9.232784736592e+02       7.177866769542e-03       1.591036104208e-04       1.423674295996e+00       1.335577855957e-07       1.547221348719e-03      -1.686764154992e-07 
   23       9.373232392428e+02       8.409952303098e-03       1.737011425754e-04       1.498345689410e+00       1.346138169861e-07       1.503442754164e-03      -4.754856566431e-07 
   24       9.515692385007e+02       9.786316302117e-03       1.889480436178e-04       1.571382477363e+00       1.355165056103e-07       1.460112893325e-03      -8.016194533479e-07 
   25       9.660908819955e+02       1.130472653225e-02       2.048450013167e-04       1.640253125596e+00       1.363198839709e-07       1.417510325418e-03      -1.064742951157e-06 
   26       9.809486144219e+02       1.296147909404e-02       2.213926932115e-04       1.702488654795e+00       1.370028503307e-07       1.376059788051e-03      -1.193455925372e-06 
   27       9.961584917174e+02       1.476795290795e-02       2.385918656018e-04       1.756916633255e+00       1.375921706892e-07       1.336950899695e-03      -1.179323611557e-06 
   28       1.011650239343e+03       1.674065906062e-02       2.564433070266e-04       1.802952471392e+00       1.380519689700e-07       1.300861736345e-03      -1.049378363456e-06 
   29       1.027453349973e+03       1.889211872680e-02       2.749479359299e-04       1.840813499733e+00       1.384545817562e-07       1.267787643059e-03      -8.502712937962e-07 
   30       1.043533213212e+03       2.123427249036e-02       2.941067450522e-04       1.871214389515e+00       1.388200616815e-07       1.236311073159e-03      -6.559839168083e-07 
   31       1.059778576115e+03       2.377863986850e-02       3.139207949239e-04       1.894986736425e+00       1.390689409617e-07       1.204140700967e-03      -5.509258089309e-07 
   32       1.076215999966e+03       2.653184352778e-02       3.343912633995e-04       1.912152195757e+00       1.392455667576e-07       1.171895970121e-03      -5.465420663292e-07 
   33       1.092856528613e+03       2.949829473257e-02       3.555194300701e-04       1.922511955495e+00       1.393781726700e-07       1.140998999915e-03      -6.216290316821e-07 
   34       1.109663235475e+03       3.268200839278e-02       3.773066534584e-04       1.925752527088e+00       1.394309794266e-07       1.112512891690e-03      -7.433589089498e-07 
   35       1.126665169224e+03       3.608923203778e-02       3.997543034291e-04       1.920984230808e+00       1.394354907436e-07       1.086455615485e-03      -8.805844902202e-07 
   36       1.143870936397e+03       3.972666746069e-02       4.228638184404e-04       1.907023500870e+00       1.393982980981e-07       1.061958676033e-03      -9.938756157299e-07 
   37       1.161256378269e+03       4.360072119835e-02       4.466366613271e-04       1.882707366080e+00       1.392805614249e-07       1.037768218606e-03      -1.042295302639e-06 
